filename	scannr	ion_injection_time	tmt_1	tmt_2	tmt_3	tmt_4	tmt_5	tmt_6
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=13692	100.0	39499.777	28326.123	35347.438	23856.145	25627.312	50602.0
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=13719	94.313	105435.89	143150.19	192797.06	135387.14	104082.72	72387.03
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=13783	100.0	101226.37	29371.055	30385.95	16103.502	16011.32	11447.27
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=13903	66.164	52523.703	69123.38	93305.59	69633.445	91241.77	100104.75
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=14026	100.0	46183.316	52845.766	58154.383	61781.445	59185.766	47381.348
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=14074	30.668	175932.45	265103.06	299152.53	246179.12	465141.0	687945.06
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=14077	100.0	403783.5	68301.28	81444.16	45365.33	83595.11	182493.92
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=14255	100.0	281374.97	76993.27	78407.63	33678.875	56101.53	24730.613
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=14274	62.219	135546.75	314979.34	257112.67	169115.66	146683.98	91988.59
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=14311	56.589	74832.98	52505.953	44209.703	35132.49	36080.5	27433.209
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=14404	100.0	3944.0476	1981.1915	5977.8486	2130.1997	1971.2449	4230.51
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=14516	100.0	46008.184	34232.156	43912.586	26415.643	35166.11	39432.125
